DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;
NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS
PDG REALT;NM;Construção Civil;UBS;IPO;ICVM 400;24/1/2007;14.00;26/01/07; 11826 ; 12422 ; 432263062 ; 216131538 ; 648394600 ;9%;6%;84%;1%
RODOBENSIMOB;NM;Construção Civil;JP Morgan;IPO;ICVM 400;29/1/2007;19.50;31/01/07; 13963 ; 14782 ; 448500000 ; - ; 448500000 ;11%;22%;67%;0%
CC DES IMOB;NM;Construção Civil;Credit Suisse;IPO;ICVM 400;29/1/2007;14.50;31/01/07; 22002 ; 23552 ; 478500000 ; 43499986 ; 521999986 ;13%;38%;48%;1%
TECNISA;NM;Construção Civil;Credit Suisse;IPO;ICVM 400;30/1/2007;13.00;01/02/07; 17187 ; 18216 ; 590652257 ; 200650827 ; 791303084 ;10%;17%;59%;13%
IGUATEMI;NM;Exploração de Imóveis;Santander;IPO;ICVM 400;5/2/2007;30.00;07/02/07; 16710 ; 18100 ; 548677440 ; - ; 548677440 ;9%;18%;72%;0%
EMBRAER;NM;Material Aeronáutico;JP Morgan;FOLLOW-ON;ICVM 400;6/2/2007;21.35;08/02/07; 3936 ; 4278 ; - ; 1789970678 ; 1789970678 ;2%;10%;88%;0%
SUZANO PAPEL;N1;Papel e Celulose;Credit Suisse;FOLLOW-ON;ICVM 400;7/2/2007;23.00;09/02/07; 2866 ; 3144 ; - ; 543696011 ; 543696011 ;10%;32%;58%;1%
SAO MARTINHO;NM;Alimentos Diversos;UBS;IPO;ICVM 400;8/2/2007;20.00;12/02/07; 24369 ; 25864 ; 260000000 ; 163680000 ; 423680000 ;10%;28%;53%;8%
GVT HOLDING;NM;Telefonia Fixa;Credit Suisse;IPO;ICVM 400;14/2/2007;18.00;16/02/07; 14427 ; 15645 ; 1076400000 ; - ; 1076400000 ;9%;15%;76%;0%
ANHANGUERA;N2;Serviços Educacionais;Credit Suisse;IPO;ICVM 400;8/3/2007;18.00;12/03/07; 13593 ; 14651 ; 426825000 ; 85500000 ; 512325000 ;9%;15%;76%;0%
GAFISA;NM;Construção Civil;Merrill Lynch;FOLLOW-ON;ICVM 400;15/3/2007;26.00;16/03/07; 5179 ; 5527 ; 487811792 ; 683493174 ; 1171304966 ;2%;4%;93%;1%
JBS;NM;Carnes e Derivados;JP Morgan;IPO;ICVM 400;27/3/2007;8.00;29/03/07; 22662 ; 23690 ; 1216750400 ; 400000000 ; 1616750400 ;9%;13%;74%;4%
PINE;N1;Bancos;Credit Suisse;IPO;ICVM 400;28/3/2007;19.00;02/04/07; 20007 ; 20668 ; 356859900 ; 160328365 ; 517188265 ;9%;13%;78%;0%
EVEN;NM;Construção Civil;Itaú BBA;IPO;ICVM 400;29/3/2007;11.50;02/04/07; 11251 ; 11634 ; 460000000 ; - ; 460000000 ;10%;20%;53%;17%
BR MALLS PAR;NM;Exploração de Imóveis;UBS;IPO;ICVM 400;2/4/2007;15.00;05/04/07; 13777 ; 14518 ; 657118665 ; - ; 657118665 ;10%;22%;68%;0%
FER HERINGER;NM;Fertilizantes e Defensivos;UBS;IPO;ICVM 400;10/4/2007;17.00;12/04/07; 9169 ; 9770 ; 203163056 ; 146414302 ; 349577358 ;11%;23%;65%;0%
JHSF PART;NM;Construção Civil;Credit Suisse;IPO;ICVM 400;10/4/2007;8.00;12/04/07; 4524 ; 4749 ; 432400000 ; - ; 432400000 ;9%;1%;89%;1%
METALFRIO;NM;Equipamentos Elétricos;UBS;IPO;ICVM 400;11/4/2007;19.00;13/04/07; 9576 ; 9970 ; 302280500 ; 150670000 ; 452950500 ;9%;21%;57%;13%
INDS ROMI;NM;Máquinas e Equipamentos Industriais;Itaú BBA;FOLLOW-ON;ICVM 400;11/4/2007;15.00;13/04/07; 2375 ; 2668 ; 242935785 ; 239571885 ; 482507670 ;5%;18%;44%;33%
BEMATECH;NM;Computadores e Equipamentos;Itaú BBA;IPO;ICVM 400;17/4/2007;15.00;19/04/07; 8629 ; 9331 ; 270000030 ; 136630020 ; 406630050 ;9%;20%;70%;1%
CR2;NM;Construção Civil;Unibanco;IPO;ICVM 400;19/4/2007;20.00;23/04/07; 2755 ; 2926 ; 307575000 ; - ; 307575000 ;7%;0%;0%;93%
AGRA INCORP;NM;Construção Civil;Credit Suisse;IPO;ICVM 400;24/4/2007;8.50;26/04/07; 5328 ; 5651 ; 752348515 ; 33688985 ; 786037500 ;7%;25%;67%;0%
USIMINAS;BÁSICO;Siderurgia;Merrill Lynch;FOLLOW-ON;ICVM 400;25/4/2007;110.00;27/04/07; 7045 ; 7789 ; - ; 2069007490 ; 2069007490 ;6%;24%;69%;0%
CREMER;NM;Medicamentos e Outros Produtos;Merrill Lynch;IPO;ICVM 400;26/4/2007;17.50;30/04/07; 9370 ; 9717 ; 210000000 ; 341631500 ; 551631500 ;9%;16%;76%;0%
WILSON SONS;BDR;Serviços de Apoio e Armazenagem;Credit Suisse;IPO;ICVM 400;26/4/2007;23.77;30/04/07; 11775 ; 12393 ; 261470000 ; 444499000 ; 705969000 ;7%;14%;74%;5%
SOFISA;N1;Bancos;UBS;IPO;ICVM 400;25/4/2007;12.00;02/05/07; 7238 ; 7521 ; 497336256 ; 7207728 ; 504543984 ;9%;15%;76%;0%
TARPON;BDR;Holdings Diversificadas;Credit Suisse;IPO;ICVM 400;29/5/2007;22.00;31/05/07; 10631 ; 10949 ; 443828000 ; - ; 443828000 ;9%;3%;87%;1%
INPAR S/A;NM;Construção Civil;Credit Suisse;IPO;ICVM 400;4/6/2007;17.50;06/06/07; 9532 ; 10114 ; 756000000 ; - ; 756000000 ;8%;22%;70%;0%
PARANA;N1;Bancos;UBS;IPO;ICVM 400;12/6/2007;14.00;14/06/07; 8491 ; 8800 ; 529200000 ; - ; 529200000 ;11%;11%;78%;0%
SLC AGRICOLA;NM;Alimentos Diversos;Credit Suisse;IPO;ICVM 400;13/6/2007;14.00;15/06/07; 9623 ; 10166 ; 308000000 ; 182043750 ; 490043750 ;9%;21%;70%;0%
LOG-IN;NM;Transporte Hidroviário;UBS;IPO;ICVM 400;18/6/2007;14.25;21/06/07; 26509 ; 28172 ; 443333318 ; 404913337 ; 848246654 ;9%;16%;75%;0%
EZTEC;NM;Construção Civil;UBS;IPO;ICVM 400;19/6/2007;11.00;22/06/07; 5507 ; 5802 ; 542145813 ; - ; 542145813 ;8%;23%;68%;1%
CRUZEIRO SUL;N1;Bancos;UBS;IPO;ICVM 400;21/6/2007;15.50;26/06/07; 4188 ; 4442 ; 439695785 ; 133820459 ; 573516244 ;8%;1%;59%;31%
DAYCOVAL;N1;Bancos;UBS;IPO;ICVM 400;26/6/2007;17.00;29/06/07; 7518 ; 8014 ; 936406104 ; 156067684 ; 1092473788 ;9%;19%;70%;2%
MARFRIG;NM;Carnes e Derivados;Merrill Lynch;IPO;ICVM 400;26/6/2007;17.00;29/06/07; 4899 ; 5527 ; 654065548 ; 366444452 ; 1020510000 ;5%;27%;68%;0%
TEGMA;NM;Transporte Rodoviário;JP Morgan;IPO;ICVM 400;28/6/2007;26.00;03/07/07; 6714 ; 7147 ; 290228506 ; 313751494 ; 603980000 ;9%;32%;59%;0%
DROGASIL;NM;Medicamentos;UBS;FOLLOW-ON;ICVM 400;28/6/2007;15.00;03/07/07; 7204 ; 7676 ; 235400100 ; 157290300 ; 392690400 ;10%;23%;67%;0%
INDUSVAL;N2;Bancos;Credit Suisse;IPO;ICVM 400;10/7/2007;17.50;12/07/07; 283 ; 348 ; 227500018 ; 25060753 ; 252560770 ;8%;4%;88%;0%
REDECARD;NM;Serviços Financeiros Diversos;Unibanco;IPO;ICVM 400;11/7/2007;27.00;13/07/07; 29315 ; 31297 ; 419999985 ; 4222694700 ; 4642694685 ;9%;19%;72%;0%
INVEST TUR;NM;Exploração de Imóveis;Credit Suisse;IPO;ICVM 400;12/7/2007;1000.00;16/07/07; 16 ; 114 ; 945000000 ; - ; 945000000 ;1%;6%;87%;6%
MINERVA;NM;Carnes e Derivados;Credit Suisse;IPO;ICVM 400;18/7/2007;18.50;20/07/07; 11539 ; 12115 ; 370000000 ; 74000000 ; 444000000 ;10%;28%;62%;0%
PATAGONIA ¹;BDR;Bancos;JP Morgan;IPO;ICVM 400;18/7/2007;48.38;20/07/07; 2830 ; 2917 ; 7619850 ; 68336750 ; 75956600 ;1%;2%;97%;0%
CIA HERING;NM;Vestuário;Itaú BBA;FOLLOW-ON;ICVM 400;19/7/2007;11.00;23/07/07; 9089 ; 9404 ; 229163000 ; 82500000 ; 311663000 ;8%;28%;63%;0%
MRV;NM;Construção Civil;UBS;IPO;ICVM 400;19/7/2007;26.00;23/07/07; 15461 ; 16745 ; 1071155202 ; 122244798 ; 1193400000 ;8%;19%;73%;0%
KROTON;N2;Serviços Educacionais;Morgan Stanley;IPO;ICVM 400;19/7/2007;39.00;23/07/07; 11158 ; 12081 ; 395695287 ; 83078463 ; 478773750 ;9%;20%;70%;0%
GUARANI;NM;Alimentos Diversos;UBS;IPO;ICVM 400;19/7/2007;13.50;23/07/07; 12229 ; 12750 ; 665758062 ; - ; 665758062 ;11%;44%;45%;0%
TRIUNFO PART;NM;Exploração de Rodovias;Credit Suisse;IPO;ICVM 400;19/7/2007;9.50;23/07/07; 7067 ; 7427 ; 304438720 ; 208561281 ; 513000000 ;9%;17%;75%;0%
ABC BRASIL;N2;Bancos;UBS;IPO;ICVM 400;23/7/2007;13.50;25/07/07; 5909 ; 6364 ; 599400000 ; 9450000 ; 608850000 ;11%;24%;65%;0%
